income,publicprivate,profession,value
50000-50999,private,Högskoleingejör,"0,0167"
51000-51999,private,Högskoleingejör,"0,0106"
52000-52999,private,Högskoleingejör,"0,0099"
53000-53999,private,Högskoleingejör,"0,0113"
54000-54999,private,Högskoleingejör,"0,0067"
55000-55999,private,Högskoleingejör,"0,0094"
56000-56999,private,Högskoleingejör,"0,0065"
57000-57999,private,Högskoleingejör,"0,0066"
58000-58999,private,Högskoleingejör,"0,0032"
59000-59999,private,Högskoleingejör,"0,0049"
60000-60999,private,Högskoleingejör,"0,0048"
61000-61999,private,Högskoleingejör,"0,0043"
62000-62999,private,Högskoleingejör,"0,0032"
63000-63999,private,Högskoleingejör,"0,0019"
64000-64999,private,Högskoleingejör,"0,002"
65000-65999,private,Högskoleingejör,"0,0033"
66000-66999,private,Högskoleingejör,"0,0024"
67000-67999,private,Högskoleingejör,"0,0018"
68000-68999,private,Högskoleingejör,"0,0017"
69000-69999,private,Högskoleingejör,"0,0014"
70000-,private,Högskoleingejör,"0,0153"
-24999,public,Högskoleingejör,"0,0168"
25000-25999,public,Högskoleingejör,"0,0129"
26000-26999,public,Högskoleingejör,"0,0297"
27000-27999,public,Högskoleingejör,"0,0322"
28000-28999,public,Högskoleingejör,"0,0426"
29000-29999,public,Högskoleingejör,"0,051"
30000-30999,public,Högskoleingejör,"0,0772"
31000-31999,public,Högskoleingejör,"0,0693"
32000-32999,public,Högskoleingejör,"0,0619"
33000-33999,public,Högskoleingejör,"0,0703"
34000-34999,public,Högskoleingejör,"0,051"
35000-35999,public,Högskoleingejör,"0,0515"
36000-36999,public,Högskoleingejör,"0,0559"
37000-37999,public,Högskoleingejör,"0,046"
38000-38999,public,Högskoleingejör,"0,054"
39000-39999,public,Högskoleingejör,"0,046"
40000-40999,public,Högskoleingejör,"0,0386"
41000-41999,public,Högskoleingejör,"0,0277"
42000-42999,public,Högskoleingejör,"0,0193"
43000-43999,public,Högskoleingejör,"0,0238"
44000-44999,public,Högskoleingejör,"0,0223"
45000-45999,public,Högskoleingejör,"0,0158"
46000-46999,public,Högskoleingejör,"0,0114"
47000-47999,public,Högskoleingejör,"0,0144"
48000-48999,public,Högskoleingejör,"0,0094"
49000-49999,public,Högskoleingejör,"0,0059"
50000-50999,public,Högskoleingejör,"0,0079"
51000-51999,public,Högskoleingejör,"0,0045"
52000-52999,public,Högskoleingejör,"0,0054"
53000-53999,public,Högskoleingejör,"0,0054"
54000-54999,public,Högskoleingejör,"0,002"
55000-55999,public,Högskoleingejör,"0,002"
56000-56999,public,Högskoleingejör,"0,0015"
57000-57999,public,Högskoleingejör,"0,0025"
58000-58999,public,Högskoleingejör,"0,002"
59000-59999,public,Högskoleingejör,"0,0005"
60000-60999,public,Högskoleingejör,"0,001"
61000-61999,public,Högskoleingejör,"0,0005"
62000-62999,public,Högskoleingejör,0
63000-63999,public,Högskoleingejör,"0,0015"
64000-64999,public,Högskoleingejör,"0,0015"
65000-65999,public,Högskoleingejör,"0,0005"
66000-66999,public,Högskoleingejör,0
67000-67999,public,Högskoleingejör,"0,0005"
68000-68999,public,Högskoleingejör,"0,0005"
69000-69999,public,Högskoleingejör,0
70000-,public,Högskoleingejör,"0,0035"
