income;profession;publicprivate;value
40000-40999;Högskoleingenjör;private;0,046394395
41000-41999;Högskoleingenjör;private;0,040755297
42000-42999;Högskoleingenjör;private;0,038619275
43000-43999;Högskoleingenjör;private;0,030416951
44000-44999;Högskoleingenjör;private;0,026657553
45000-45999;Högskoleingenjör;private;0,029477102
46000-46999;Högskoleingenjör;private;0,02144566
47000-47999;Högskoleingenjör;private;0,0215311
48000-48999;Högskoleingenjör;private;0,017173616
49000-49999;Högskoleingenjör;private;0,013755981
50000-50999;Högskoleingenjör;private;0,016660971
51000-51999;Högskoleingenjör;private;0,010594668
52000-52999;Högskoleingenjör;private;0,009911141
53000-53999;Högskoleingenjör;private;0,011278195
54000-54999;Högskoleingenjör;private;0,006664388
55000-55999;Högskoleingenjör;private;0,009398496
56000-56999;Högskoleingenjör;private;0,006493506
57000-57999;Högskoleingenjör;private;0,006578947
58000-58999;Högskoleingenjör;private;0,003161312
59000-59999;Högskoleingenjör;private;0,00487013
60000-60999;Högskoleingenjör;private;0,004784689
61000-61999;Högskoleingenjör;private;0,004272044
62000-62999;Högskoleingenjör;private;0,003246753
63000-63999;Högskoleingenjör;private;0,001879699
64000-64999;Högskoleingenjör;private;0,00196514
65000-65999;Högskoleingenjör;private;0,003332194
66000-66999;Högskoleingenjör;private;0,002392344
67000-67999;Högskoleingenjör;private;0,001794258
68000-68999;Högskoleingenjör;private;0,001708817
69000-69999;Högskoleingenjör;private;0,001367054
70000-70999;Högskoleingenjör;private;0,001110731
71000-71999;Högskoleingenjör;private;0,001794258
72000-72999;Högskoleingenjör;private;0,000598086
73000-73999;Högskoleingenjör;private;0,001110731
74000-74999;Högskoleingenjör;private;0,000512645
75000-75999;Högskoleingenjör;private;0,000341763
76000-76999;Högskoleingenjör;private;0,000768968
77000-77999;Högskoleingenjör;private;0,000512645
78000-78999;Högskoleingenjör;private;0,000341763
79000-79999;Högskoleingenjör;private;0,00093985
80000-;Högskoleingenjör;private;0,007262474
-25999;Bibliotekarie;private;0,091304348
26000-26999;Bibliotekarie;private;0,07826087
27000-27999;Bibliotekarie;private;0,052173913
28000-28999;Bibliotekarie;private;0,117391304
29000-29999;Bibliotekarie;private;0,065217391
30000-30999;Bibliotekarie;private;0,065217391
31000-31999;Bibliotekarie;private;0,095652174
32000-32999;Bibliotekarie;private;0,052173913
33000-33999;Bibliotekarie;private;0,065217391
34000-34999;Bibliotekarie;private;0,039130435
35000-35999;Bibliotekarie;private;0,026086957
36000-36999;Bibliotekarie;private;0,026086957
37000-37999;Bibliotekarie;private;0,039130435
38000-38999;Bibliotekarie;private;0,008695652
39000-39999;Bibliotekarie;private;0
40000-40999;Bibliotekarie;private;0,02173913
41000-41999;Bibliotekarie;private;0,02173913
42000-42999;Bibliotekarie;private;0,004347826
43000-43999;Bibliotekarie;private;0,008695652
44000-44999;Bibliotekarie;private;0,004347826
45000-45999;Bibliotekarie;private;0,017391304
46000-46999;Bibliotekarie;private;0
47000-47999;Bibliotekarie;private;0,013043478
48000-48999;Bibliotekarie;private;0,004347826
49000-49999;Bibliotekarie;private;0,013043478
50000-50999;Bibliotekarie;private;0,004347826
51000-51999;Bibliotekarie;private;0,013043478
52000-52999;Bibliotekarie;private;0,008695652
53000-53999;Bibliotekarie;private;0,008695652
54000-54999;Bibliotekarie;private;0,008695652
55000-55999;Bibliotekarie;private;0
56000-56999;Bibliotekarie;private;0,008695652
57000-57999;Bibliotekarie;private;0
58000-58999;Bibliotekarie;private;0,008695652
59000-59999;Bibliotekarie;private;0
60000-60999;Bibliotekarie;private;0
61000-61999;Bibliotekarie;private;0
62000-62999;Bibliotekarie;private;0
63000-63999;Bibliotekarie;private;0
64000-64999;Bibliotekarie;private;0
65000-65999;Bibliotekarie;private;0,004347826
66000-66999;Bibliotekarie;private;0
67000-67999;Bibliotekarie;private;0,004347826
68000-68999;Bibliotekarie;private;0
69000-69999;Bibliotekarie;private;0
70000-70999;Bibliotekarie;private;0
71000-71999;Bibliotekarie;private;0
72000-72999;Bibliotekarie;private;0
73000-73999;Bibliotekarie;private;0
74000-74999;Bibliotekarie;private;0
75000-75999;Bibliotekarie;private;0
76000-76999;Bibliotekarie;private;0
77000-77999;Bibliotekarie;private;0
78000-78999;Bibliotekarie;private;0
79000-79999;Bibliotekarie;private;0
80000-;Bibliotekarie;private;0
-25999;Bibliotekarie;public;0,108063856
26000-26999;Bibliotekarie;public;0,103151862
27000-27999;Bibliotekarie;public;0,136717151
28000-28999;Bibliotekarie;public;0,12771183
29000-29999;Bibliotekarie;public;0,113794515
30000-30999;Bibliotekarie;public;0,094965207
31000-31999;Bibliotekarie;public;0,079001228
32000-32999;Bibliotekarie;public;0,056897257
33000-33999;Bibliotekarie;public;0,031518625
34000-34999;Bibliotekarie;public;0,031109292
35000-35999;Bibliotekarie;public;0,020875972
36000-36999;Bibliotekarie;public;0,016782644
37000-37999;Bibliotekarie;public;0,01473598
38000-38999;Bibliotekarie;public;0,012279984
39000-39999;Bibliotekarie;public;0,009414654
40000-40999;Bibliotekarie;public;0,011461318
41000-41999;Bibliotekarie;public;0,005730659
42000-42999;Bibliotekarie;public;0,004502661
43000-43999;Bibliotekarie;public;0,00286533
44000-44999;Bibliotekarie;public;0,000818666
45000-45999;Bibliotekarie;public;0,002455997
46000-46999;Bibliotekarie;public;0,00286533
47000-47999;Bibliotekarie;public;0,000409333
48000-48999;Bibliotekarie;public;0,001637331
49000-49999;Bibliotekarie;public;0,000409333
50000-50999;Bibliotekarie;public;0,001227998
51000-51999;Bibliotekarie;public;0
52000-52999;Bibliotekarie;public;0,000409333
53000-53999;Bibliotekarie;public;0,000818666
54000-54999;Bibliotekarie;public;0,000818666
55000-55999;Bibliotekarie;public;0,000409333
56000-56999;Bibliotekarie;public;0
57000-57999;Bibliotekarie;public;0,000409333
58000-58999;Bibliotekarie;public;0,000409333
59000-59999;Bibliotekarie;public;0,001227998
60000-60999;Bibliotekarie;public;0
