Befattning,Arbsektor,Andel,Lön
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,294811321",117000-117999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,176886792",118000-118999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,137578616",119000-119999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,511006289",120000-120999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,314465409",121000-121999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,196540881",122000-122999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,196540881",123000-123999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,157232704",124000-124999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,412735849",125000-125999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,275157233",126000-126999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,078616352",127000-127999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,176886792",128000-128999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,117924528",129000-129999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"6,073113208",>=130000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,014573511",<42000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,071581655",42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,071581655",43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,985855122",44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,628804115",45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,714530647",46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,143163309",47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,885983712",48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,443206172",49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,25760823",50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,743249036",51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,343334762",52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,000428633",53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,828975568",54000-54999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,943420489",55000-55999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,900557222",56000-56999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,129018431",57000-57999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,086155165",58000-58999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,486069438",59000-59999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,386198028",60000-60999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,571795971",61000-61999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,000428633",62000-62999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,743249036",63000-63999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,400342906",64000-64999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,35747964",65000-65999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,528932705",66000-66999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,885983712",67000-67999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,500214316",68000-68999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,585940849",69000-69999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,443206172",70000-70999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,928846978",71000-71999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"2,186026575",72000-72999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,371624518",73000-73999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,628804115",74000-74999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,543077583",75000-75999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,114444921",76000-76999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,685812259",77000-77999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,985855122",78000-78999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,642948993",79000-79999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"1,328761252",80000-80999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,55722246",81000-81999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,728675525",82000-82999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,685812259",83000-83999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,814402057",84000-84999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,814402057",85000-85999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,642948993",86000-86999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,600085727",87000-87999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,214316331",88000-88999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,642948993",89000-89999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,90012859",90000-90999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,428632662",91000-91999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,55722246",92000-92999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,55722246",93000-93999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,300042863",94000-94999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,385769396",95000-95999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,300042863",96000-96999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,257179597",97000-97999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,257179597",98000-98999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,471495928",99000-99999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"0,385769396",100000-100999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig ,"3,000428633",>=101000
Enhetschef/gruppchef/ första linjens chef,Privat,"2,561777375",<34000
Enhetschef/gruppchef/ första linjens chef,Privat,"0,72545908",34000-34999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,110859216",35000-35999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,110859216",36000-36999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,654953525",37000-37999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,858988891",38000-38999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,881659488",39000-39999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,403083201",40000-40999
