Utbildning,Arbsektor,Andel,Lön
Högskoleingenjör,Privat,"0,487012987",59000-59999
Högskoleingenjör,Privat,"0,4784688995",60000-60999
Högskoleingenjör,Privat,"0,4272043746",61000-61999
Högskoleingenjör,Privat,"3,2980177717",>=62000
Högskoleingenjör,Offentlig,"1,6831683168",< 25000
Högskoleingenjör,Offentlig,"1,2871287129",25000-25999
Högskoleingenjör,Offentlig,"2,9702970297",26000-26999
Högskoleingenjör,Offentlig,"3,2178217822",27000-27999
Högskoleingenjör,Offentlig,"4,2574257426",28000-28999
Högskoleingenjör,Offentlig,"5,099009901",29000-29999
Högskoleingenjör,Offentlig,"7,7227722772",30000-30999
Högskoleingenjör,Offentlig,"6,9306930693",31000-31999
Högskoleingenjör,Offentlig,"6,1881188119",32000-32999
Högskoleingenjör,Offentlig,"7,0297029703",33000-33999
Högskoleingenjör,Offentlig,"5,099009901",34000-34999
Högskoleingenjör,Offentlig,"5,1485148515",35000-35999
Högskoleingenjör,Offentlig,"5,5940594059",36000-36999
Högskoleingenjör,Offentlig,"4,603960396",37000-37999
Högskoleingenjör,Offentlig,"5,396039604",38000-38999
Högskoleingenjör,Offentlig,"4,603960396",39000-39999
Högskoleingenjör,Offentlig,"3,8613861386",40000-40999
Högskoleingenjör,Offentlig,"2,7722772277",41000-41999
Högskoleingenjör,Offentlig,"1,9306930693",42000-42999
Högskoleingenjör,Offentlig,"2,3762376238",43000-43999
Högskoleingenjör,Offentlig,"2,2277227723",44000-44999
Högskoleingenjör,Offentlig,"1,5841584158",45000-45999
Högskoleingenjör,Offentlig,"1,1386138614",46000-46999
Högskoleingenjör,Offentlig,"1,4356435644",47000-47999
Högskoleingenjör,Offentlig,"0,9405940594",48000-48999
Högskoleingenjör,Offentlig,"0,5940594059",49000-49999
Högskoleingenjör,Offentlig,"0,7920792079",50000-50999
Högskoleingenjör,Offentlig,"0,4455445545",51000-51999
Högskoleingenjör,Offentlig,"3,0693069307",>=52000
