"Utbildning","Arbsektor","COUNT","Andel","Lön"
"högsta chef, högre chef, mellanchef","Offentlig",21,0.66,"<40000"
"högsta chef, högre chef, mellanchef","Offentlig",9,0.283822138126774,"40000-40999"
"högsta chef, högre chef, mellanchef","Offentlig",17,0.536108483128351,"41000-41999"
"högsta chef, högre chef, mellanchef","Offentlig",15,0.473036896877957,"42000-42999"
"högsta chef, högre chef, mellanchef","Offentlig",10,0.315357931251971,"43000-43999"
"högsta chef, högre chef, mellanchef","Offentlig",11,0.346893724377168,"44000-44999"
"högsta chef, högre chef, mellanchef","Offentlig",26,0.819930621255125,"45000-45999"
"högsta chef, högre chef, mellanchef","Offentlig",31,0.97760958688111,"46000-46999"
"högsta chef, högre chef, mellanchef","Offentlig",41,1.29296751813308,"47000-47999"
"högsta chef, högre chef, mellanchef","Offentlig",53,1.67139703563545,"48000-48999"
"högsta chef, högre chef, mellanchef","Offentlig",50,1.57678965625986,"49000-49999"
"högsta chef, högre chef, mellanchef","Offentlig",73,2.30211289813939,"50000-50999"
"högsta chef, högre chef, mellanchef","Offentlig",61,1.92368338063702,"51000-51999"
"högsta chef, högre chef, mellanchef","Offentlig",73,2.30211289813939,"52000-52999"
"högsta chef, högre chef, mellanchef","Offentlig",80,2.52286345001577,"53000-53999"
"högsta chef, högre chef, mellanchef","Offentlig",90,2.83822138126774,"54000-54999"
"högsta chef, högre chef, mellanchef","Offentlig",103,3.2481866918953,"55000-55999"
"högsta chef, högre chef, mellanchef","Offentlig",97,3.05897193314412,"56000-56999"
"högsta chef, högre chef, mellanchef","Offentlig",84,2.64900662251656,"57000-57999"
"högsta chef, högre chef, mellanchef","Offentlig",105,3.3112582781457,"58000-58999"
"högsta chef, högre chef, mellanchef","Offentlig",94,2.96436455376853,"59000-59999"
"högsta chef, högre chef, mellanchef","Offentlig",121,3.81583096814885,"60000-60999"
"högsta chef, högre chef, mellanchef","Offentlig",97,3.05897193314412,"61000-61999"
"högsta chef, högre chef, mellanchef","Offentlig",100,3.15357931251971,"62000-62999"
"högsta chef, högre chef, mellanchef","Offentlig",85,2.68054241564175,"63000-63999"
"högsta chef, högre chef, mellanchef","Offentlig",60,1.89214758751183,"64000-64999"
"högsta chef, högre chef, mellanchef","Offentlig",104,3.2797224850205,"65000-65999"
"högsta chef, högre chef, mellanchef","Offentlig",78,2.45979186376537,"66000-66999"
"högsta chef, högre chef, mellanchef","Offentlig",84,2.64900662251656,"67000-67999"
"högsta chef, högre chef, mellanchef","Offentlig",59,1.86061179438663,"68000-68999"
"högsta chef, högre chef, mellanchef","Offentlig",70,2.2075055187638,"69000-69999"
"högsta chef, högre chef, mellanchef","Offentlig",92,2.90129296751813,"70000-70999"
"högsta chef, högre chef, mellanchef","Offentlig",44,1.38757489750867,"71000-71999"
"högsta chef, högre chef, mellanchef","Offentlig",64,2.01829076001261,"72000-72999"
"högsta chef, högre chef, mellanchef","Offentlig",57,1.79754020813623,"73000-73999"
"högsta chef, högre chef, mellanchef","Offentlig",57,1.79754020813623,"74000-74999"
"högsta chef, högre chef, mellanchef","Offentlig",69,2.1759697256386,"75000-75999"
"högsta chef, högre chef, mellanchef","Offentlig",66,2.08136234626301,"76000-76999"
"högsta chef, högre chef, mellanchef","Offentlig",46,1.45064648375907,"77000-77999"
"högsta chef, högre chef, mellanchef","Offentlig",53,1.67139703563545,"78000-78999"
"högsta chef, högre chef, mellanchef","Offentlig",27,0.851466414380322,"79000-79999"
"högsta chef, högre chef, mellanchef","Offentlig",48,1.51371807000946,"80000-80999"
"högsta chef, högre chef, mellanchef","Offentlig",34,1.0722169662567,"81000-81999"
